V101,gender,educ,race,pid7,pid3,ideo5,emote,treatd,lovec,auth,purity,math,weak,unfair,betray,conform,disgust,cruel,rights,loyal,chaos,goddis,compat,treatf,proudc,authc,nodisgust,dogood,hurt,justice,loyalf,roles,notnat,kill,rich,team,obey,chaste,religattend,income,age,state,zip,county,inputstate
161029094,2,5,1,1,1,2,6,6,4,3,,,,6,,,,,,5,5,2,,,,4,6,6,,5,2,2,1,,3,,,,3,,70,CO,80303,Boulder CO,8
161564476,1,3,4,4,3,,,4,4,,3,3,,,4,,,,4,4,,4,4,4,5,,,5,,4,3,,,,,,4,4,6,1,61,CA,93041,Ventura CA,6
161641851,2,2,1,1,1,3,6,,6,6,,1,,,6,,6,,,6,6,,6,6,,,6,,,6,6,,,,1,,6,6,2,4,43,MI,49721,Cheboygan MI,26
161801263,1,5,1,3,3,2,,,6,5,,5,5,5,5,6,,,6,,,,5,,,,6,5,,6,4,,,2,,,5,5,4,5,72,CA,90806,Los Angeles CA,6
161810562,2,3,1,3,,3,,,,,,1,,,,4,6,6,,,,,5,,5,6,4,,,,,,3,,2,2,,4,4,5,60,TX,76661,Falls TX,48
161818592,1,3,1,6,2,4,1,1,,,6,,6,,6,1,,,6,,,6,,6,6,,,,6,6,1,1,,,3,,6,,4,,67,CA,93908,Monterey CA,6
161819192,1,5,1,7,2,5,,,6,,6,1,6,,,,3,5,,5,6,,,6,,6,2,,,,,1,6,1,1,1,,,2,,73,MI,49916,Houghton MI,26
161819622,1,5,1,7,2,5,1,1,1,,,,,1,,1,1,,,1,1,,,,6,,,,6,5,,,5,1,,4,6,5,5,9,68,CA,92117,San Diego CA,6
161823903,1,4,1,5,3,3,,,,3,5,,,5,5,5,,,5,,4,1,5,,5,,5,,6,,5,,,3,,1,5,,6,5,73,TX,75495,Grayson TX,48
161831101,2,4,1,3,3,3,5,,5,5,4,2,6,,,,6,,6,,,,,,6,6,6,6,,6,3,,,,,5,,4,6,,74,MD,20794,Howard MD,24
161847352,2,3,1,7,2,5,5,5,6,5,,,,5,5,,,5,,,5,,,,6,,,6,6,6,,4,,3,,4,6,,3,10,70,CA,96101,Modoc CA,6
161854509,1,3,1,7,2,5,,,,5,,5,,6,,5,5,,5,,6,6,6,6,6,,,6,,,,6,6,,,6,,5,1,10,70,NV,89144,Clark NV,32
161855354,2,3,2,2,1,4,4,5,6,5,5,4,4,6,6,4,6,6,5,5,6,6,5,6,5,6,6,6,5,5,5,5,4,5,1,5,5,6,3,3,54,VA,24055,Henry VA,51
161876971,1,5,1,5,3,4,,,,,,1,,,1,1,1,,1,1,1,6,5,4,6,,5,6,5,,,,,5,,,,6,1,10,59,IL,60126,DuPage IL,17
161877278,1,6,6,,2,4,6,5,6,6,6,4,6,6,6,4,6,6,6,6,6,6,6,5,5,6,6,6,6,6,1,6,6,3,3,2,3,6,1,9,57,KS,67207,Sedgwick KS,20
161885566,2,6,1,3,3,3,,,,4,,,4,4,,,3,6,,3,3,3,6,,4,,,6,6,5,,,,3,,,4,6,4,10,39,NC,28025,Cabarrus NC,37
161896117,2,6,1,2,1,3,5,5,3,4,4,1,2,5,2,3,3,5,4,3,3,1,4,6,6,6,5,6,6,4,5,6,2,3,6,3,6,2,5,7,57,CO,80920,El Paso CO,8
161986099,1,5,1,6,2,4,2,4,3,4,2,1,1,5,4,2,2,5,5,3,3,1,2,6,6,5,5,6,6,6,4,5,4,1,6,4,5,3,5,,70,WA,98075,King WA,53
161992207,1,6,1,7,2,4,,3,3,,,,,3,5,,4,,4,5,5,,4,,,6,,6,,6,5,6,6,,,,6,,5,7,52,NY,11961,Suffolk NY,36
161992392,1,6,6,1,1,1,,5,4,4,,,,5,4,4,,,,4,,1,,6,,,,6,,,6,4,,6,6,,3,3,5,1,75,CA,94602,Alameda CA,6
161996797,1,3,7,3,,2,,,5,5,6,,,5,5,,,5,,,,1,6,5,,5,5,6,,5,,1,,,,3,,,6,4,36,MT,59701,Silver Bow MT,30
162003327,1,5,1,4,,4,,4,4,2,5,1,,6,,3,,,5,,,,,5,5,,,6,4,5,,,4,,1,,4,,2,8,49,KY,40228,Jefferson KY,21
162004134,1,3,7,5,3,5,,1,1,1,,,,,1,,,,6,1,1,6,,1,,,,6,,6,1,,1,1,,,5,6,1,,59,AL,36312,Houston AL,1
162022312,1,5,1,7,2,5,,,,1,2,2,2,,6,3,4,3,,,,,,,,,2,6,,1,3,5,2,,,3,4,,5,10,47,MN,55057,Rice MN,27
162140074,1,2,1,5,3,4,2,2,,,,1,,3,5,,,5,5,,6,,4,4,6,,5,6,,,4,,,3,,,,6,5,11,72,TN,37830,Anderson TN,47
162143368,1,5,1,3,3,3,,,,2,2,2,2,2,,,2,,,,2,2,,1,1,1,6,,,6,5,,,1,,,6,,1,10,72,PA,19030,Bucks PA,42
