id,cards,ballots,racepledge,talkradio,familyshun,flagburn,parentcurse,handgesture,rottentomato,soulsell,molesterblood,stageanimal,icebath,idiotsign,headache,dogkick,overweight,palm,ideo7,age,education,gender,state,income
2,6.0,8.0,6.0,7.0,8.0,6.0,8.0,6.0,7.0,7.0,6.0,8.0,8.0,6.0,8.0,7.0,7.0,6.0,5.0,69,12,2,81,12
3,6.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,5.0,2.0,8.0,6.0,6.0,8.0,8.0,8.0,8.0,8.0,4.0,26,11,1,47,12
4,8.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,4.0,7.0,8.0,8.0,8.0,6.0,25,9,2,91,5
5,6.0,6.0,8.0,6.0,8.0,3.0,7.0,2.0,3.0,5.0,5.0,7.0,5.0,5.0,5.0,8.0,7.0,8.0,1.0,44,14,2,56,19
6,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,4.0,44,10,2,88,14
7,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0,7.0,8.0,7.0,7.0,8.0,7.0,6.0,38,12,2,35,14
8,6.0,8.0,8.0,8.0,8.0,8.0,7.0,1.0,1.0,5.0,8.0,5.0,5.0,1.0,5.0,8.0,8.0,8.0,3.0,51,10,2,34,12
9,4.0,8.0,8.0,4.0,7.0,2.0,7.0,5.0,1.0,2.0,1.0,5.0,6.0,5.0,7.0,8.0,6.0,8.0,2.0,35,14,1,74,12
10,8.0,8.0,8.0,8.0,7.0,8.0,8.0,1.0,8.0,8.0,8.0,8.0,7.0,7.0,4.0,8.0,8.0,8.0,3.0,56,9,1,23,11
11,7.0,8.0,8.0,7.0,8.0,1.0,8.0,8.0,7.0,1.0,1.0,7.0,6.0,7.0,7.0,8.0,8.0,8.0,2.0,32,12,2,93,4
12,1.0,1.0,8.0,8.0,8.0,6.0,8.0,1.0,1.0,8.0,1.0,6.0,3.0,5.0,5.0,1.0,8.0,8.0,6.0,65,9,1,74,16
