WUSTLID,emote,treatd,lovec,auth,purity,attchecka,weak,unfair,betray,conform,disgust,compat,treatf,proudc,authc,nodisgust,attcheckb,hurt,justice,loyalf,roles,notnat,demfeel,repfeel,libfeel,consfeel,pid3,ideo7
989870,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989871,5,5,NA,5,5,4,5,5,5,5,5,6,6,5,6,6,6,5,6,5,5,6,9,2,6,6,1,6
989872,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989873,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989874,4,5,3,3,3,2,4,5,4,3,4,6,6,4,4,3,5,6,6,4,2,2,7,1,7,0,1,2
989875,4,4,4,4,5,2,4,5,5,3,4,5,4,4,4,2,5,4,4,3,5,4,4,6,4,8,3,3
989876,1,5,3,5,2,1,5,5,4,2,5,6,6,5,6,4,6,6,6,4,5,2,4,4,5,4,3,4
989877,5,5,5,5,5,1,5,5,5,5,5,6,6,5,6,6,6,5,5,3,4,4,5,5,5,5,NA,NA
989878,5,5,5,5,5,4,5,5,5,4,5,4,5,6,6,6,6,6,6,5,6,6,8,10,5,10,3,6
989879,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989880,5,4,5,5,4,2,5,3,5,4,5,6,6,5,6,6,6,6,6,6,6,6,10,0,4,4,1,4
989881,4,5,5,5,5,4,5,5,5,5,5,6,6,6,6,6,6,6,6,3,3,1,5,5,5,5,3,3
989882,1,1,2,2,1,1,1,1,1,2,2,4,1,6,6,6,6,6,6,6,6,6,2,7,0,10,2,7
989883,2,4,4,4,4,1,4,4,4,2,4,3,6,4,6,3,6,6,4,6,4,2,3,6,3,6,3,5
989884,4,5,5,5,5,1,5,5,5,5,4,4,4,5,6,5,6,6,5,3,5,6,1,7,0,7,3,6
989885,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989886,4,4,4,3,3,2,3,3,4,3,2,6,5,5,6,6,6,4,5,6,6,5,8,9,7,9,2,6
989887,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989888,1,4,4,1,4,1,1,4,1,1,2,1,1,6,6,6,6,2,5,5,3,6,3,10,0,10,2,6
989889,3,3,4,5,5,1,4,4,5,4,5,4,1,6,6,6,6,1,5,2,6,5,3,5,1,10,2,6
989890,3,5,3,3,3,1,3,5,3,1,1,4,4,6,6,3,6,6,6,5,4,2,8,6,8,2,1,2
989891,4,5,5,5,5,5,5,5,5,5,5,5,5,6,6,5,6,6,6,6,6,6,9,5,7,5,1,3
989892,3,5,4,4,4,4,5,5,5,1,4,6,5,5,6,5,6,6,4,2,NA,1,10,2,9,0,1,2
989893,3,4,4,5,5,2,4,4,3,4,4,4,NA,6,5,5,6,6,6,3,4,4,5,10,3,6,2,2
989894,3,5,3,2,5,1,3,5,3,3,3,5,5,5,6,5,6,5,5,4,5,4,5,5,5,5,3,6
989895,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989896,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989897,5,5,4,5,5,2,5,5,5,4,5,6,6,4,6,4,6,6,6,3,1,1,10,5,10,2,1,1
989898,4,4,4,4,4,4,4,4,4,4,4,5,6,2,2,2,3,3,3,3,3,3,5,5,5,5,1,3
989899,3,4,5,4,5,4,5,5,2,4,4,6,6,6,NA,4,6,5,4,2,4,2,5,5,5,5,3,4
989900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989901,4,4,3,3,4,4,5,5,5,3,4,4,6,5,5,4,6,6,6,5,5,5,9,1,8,1,1,2
989902,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989903,4,5,5,5,5,3,4,5,4,1,5,2,4,6,6,5,6,6,4,2,3,4,2,9,0,10,2,6
989904,4,5,5,4,4,2,4,5,3,4,5,3,1,5,6,6,5,2,5,2,5,1,2,6,4,8,NA,5
989905,4,3,4,1,1,3,1,3,1,1,1,4,3,1,1,2,4,1,3,3,5,4,7,1,5,2,1,2
989906,2,3,2,2,4,1,2,5,2,3,2,4,4,5,6,4,6,3,2,3,6,5,2,6,3,6,2,6
989907,4,4,3,5,5,2,4,4,5,3,5,3,4,6,6,6,5,1,5,5,6,6,1,10,0,10,2,6
989908,3,3,4,4,4,1,3,5,5,4,5,6,6,6,6,6,6,6,6,4,6,5,5,5,5,5,1,NA
989909,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989910,4,4,4,4,3,2,4,4,3,2,2,5,5,5,5,4,6,6,5,4,3,3,8,9,10,10,1,2
989911,4,4,4,4,4,2,4,4,4,3,3,5,6,5,6,4,6,5,6,5,5,5,4,5,5,5,2,5
989912,5,5,5,5,5,3,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,5,5,5,9,2,6
989913,4,4,3,NA,NA,NA,3,3,4,3,4,4,5,4,5,5,5,5,5,6,4,5,5,5,4,5,2,5
989914,2,4,2,3,4,2,3,5,4,3,1,5,5,5,6,4,6,1,6,5,1,2,7,7,6,7,1,5
989915,5,5,5,4,5,2,5,5,5,5,4,4,6,4,6,4,6,6,5,5,2,5,3,7,5,5,2,5
989916,2,5,5,5,4,1,5,4,5,2,5,6,6,4,6,6,6,6,6,6,6,3,9,3,10,3,1,2
989917,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989918,3,3,4,4,4,3,3,4,4,3,3,3,2,5,5,3,5,3,4,2,4,3,5,5,4,7,2,6
989919,3,2,2,4,5,4,4,5,5,2,3,NA,6,4,6,6,6,6,4,3,5,4,9,3,9,NA,1,6
989920,1,3,4,5,5,1,4,5,5,4,4,4,2,6,6,5,6,1,5,6,4,5,3,7,2,9,3,6
989921,3,3,4,4,4,2,3,4,5,4,3,5,5,6,6,6,6,6,6,6,5,3,7,3,5,4,1,4
989922,4,5,4,3,5,1,5,4,2,2,5,4,4,2,4,5,6,2,5,5,4,5,2,4,2,7,3,5
989923,4,4,3,4,5,1,4,4,4,4,4,4,1,6,6,5,6,5,5,4,5,5,0,7,0,9,NA,7
989924,5,5,3,4,4,1,4,4,4,3,2,5,6,5,6,6,6,6,5,4,5,5,7,5,7,4,1,3
989925,3,5,2,2,3,1,5,5,5,2,5,6,6,5,5,5,6,6,6,5,2,2,10,0,7,0,1,4
989926,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989927,5,4,3,4,4,1,4,4,4,4,4,6,5,4,6,3,6,6,3,5,4,2,6,2,5,5,3,2
989928,5,5,4,5,5,1,4,4,4,2,4,6,5,5,6,6,6,NA,5,4,4,6,5,5,6,8,3,5
989929,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989930,3,5,5,5,4,1,5,5,3,3,5,6,6,6,6,1,6,6,6,5,1,2,10,2,5,0,3,4
989931,4,5,3,2,4,4,5,5,4,2,4,4,3,3,4,3,6,5,5,4,2,2,8,0,7,2,3,3
989932,1,1,1,1,1,1,1,1,1,1,1,4,4,6,6,2,6,6,6,3,4,2,1,6,0,7,2,6
989933,1,1,1,5,5,1,4,5,4,1,4,4,2,6,6,6,6,1,5,2,5,4,4,8,7,8,2,7
989934,5,5,4,4,5,1,5,5,4,1,4,6,6,5,5,5,6,5,6,5,2,2,10,0,10,0,1,1
989935,5,5,3,4,5,1,5,5,5,1,5,5,6,2,6,6,6,6,5,3,2,6,7,0,5,NA,1,2
989936,1,1,1,3,4,1,4,4,4,2,4,6,6,5,6,5,6,4,6,6,6,5,10,0,8,7,1,4
989937,5,5,5,5,5,1,5,5,5,3,3,6,6,6,6,6,6,6,6,1,2,5,3,8,1,8,2,6
989938,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989939,5,5,5,5,5,3,5,5,5,5,5,5,6,1,6,3,6,6,6,5,4,1,5,5,5,5,1,3
989940,4,3,3,2,2,2,3,3,3,2,3,2,1,5,4,2,5,6,3,2,2,2,3,3,3,3,3,4
989941,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989942,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989943,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989944,5,4,2,3,4,2,5,4,2,3,2,3,3,3,6,4,6,2,4,2,4,1,6,6,6,6,1,2
989945,4,5,4,4,5,2,3,4,5,3,4,6,3,3,5,6,6,6,6,4,4,5,10,1,9,2,1,2
989946,3,3,3,3,3,3,4,4,4,4,4,6,6,6,6,6,6,6,6,5,5,5,10,10,5,10,1,4
989947,2,4,3,4,5,1,4,5,4,3,1,5,3,5,6,2,4,5,3,2,2,3,8,4,7,6,3,2
989948,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989949,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989950,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989951,5,5,4,5,4,3,5,3,5,3,4,5,6,3,6,1,6,6,6,5,5,5,7,7,8,7,2,2
989952,5,5,1,1,5,4,3,5,3,1,3,5,4,5,4,1,6,6,6,3,3,1,9,4,9,3,1,2
989953,4,5,5,3,4,2,4,5,4,2,5,6,6,6,6,6,6,6,6,3,4,3,3,7,4,7,2,5
989954,1,4,4,NA,NA,NA,4,4,4,1,5,5,5,1,1,6,6,5,3,5,5,6,5,5,5,5,3,5
989955,4,4,2,4,4,1,3,4,5,3,3,5,4,5,5,4,6,5,4,3,4,3,9,4,9,9,1,NA
989956,2,2,2,3,2,2,2,2,1,5,4,2,1,1,1,1,2,1,1,1,1,1,6,7,7,5,1,4
989957,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989958,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,5,5,3,4,2,5,6,4,5,1,3
989959,1,1,1,1,1,1,1,1,1,1,1,1,4,3,4,3,4,3,5,4,4,3,3,1,0,6,3,7
989960,4,5,5,5,5,2,4,5,4,2,5,5,6,6,6,6,6,6,6,5,6,6,1,9,0,9,2,6
989961,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989962,3,3,3,2,4,2,3,4,1,2,2,6,1,6,4,4,6,1,5,6,6,6,7,6,7,9,NA,7
989963,5,5,3,5,5,1,5,5,4,5,4,1,1,5,6,5,6,6,6,5,5,5,10,0,10,6,1,1
989964,4,5,3,3,2,2,5,5,5,1,2,5,6,5,4,3,5,6,5,3,3,2,7,0,9,0,1,2
989965,4,4,4,4,5,2,4,5,5,5,NA,1,1,1,NA,1,1,1,1,1,1,1,5,5,5,5,NA,4
989966,4,5,3,5,4,1,5,5,2,1,5,5,5,5,6,5,6,6,4,3,5,2,9,4,9,4,1,2
989967,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989968,4,4,4,4,4,2,4,4,3,3,3,6,5,6,5,5,6,6,6,3,4,3,7,2,7,4,1,2
989969,4,3,3,4,4,2,4,4,4,3,2,4,5,4,5,4,5,5,5,3,3,4,5,5,5,5,1,5
989970,3,4,3,5,5,1,5,5,5,3,4,6,3,6,6,5,6,5,5,5,6,6,3,7,3,8,2,6
989971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989972,4,4,5,5,5,4,4,4,5,4,4,5,6,4,6,6,6,6,5,4,5,4,9,1,4,5,1,3
989973,5,5,5,5,5,4,5,5,4,4,5,1,1,5,6,5,6,5,5,5,5,4,10,8,7,9,1,5
