SESHID,politics,harmed1,suffered1,violence1,differently1,rights1,unfairly1,betray1,friend1,loyalty1,rank1,duties1,respect1,disgust1,purity1,unnatural1,income2,education,gender,Age
209281,,4,4,6,5,6,5,4,4,4,4,4,2,4,4,4,,,-1,19
210723,,5,6,3,4,6,4,4,6,6,5,4,5,4,3,3,,,,26
209964,,4,5,6,5,5,5,5,4,5,4,5,5,4,3,4,,,-1,25
211909,,6,4,5,5,6,5,5,3,5,3,6,5,5,5,6,,14,1,32
209730,,6,6,6,6,6,6,6,1,1,6,6,6,6,6,6,,,,46
212024,,6,5,5,4,6,5,5,3,6,2,5,4,4,4,5,,,1,23
209514,,6,6,6,6,4,6,6,6,6,1,4,6,4,6,6,,,,40
209545,,4,4,4,4,5,5,2,3,2,1,3,4,3,4,4,,,1,23
209721,,6,6,6,6,1,1,1,1,1,1,1,1,6,1,1,,,1,45
210347,,5,4,6,5,3,4,4,4,5,2,4,2,4,3,3,,,,16
210713,,6,4,4,5,5,5,4,4,3,2,5,3,4,3,4,1,12,-1,25
211092,,6,3,6,5,6,6,4,2,5,5,4,2,3,5,4,,,,28
211866,,6,4,6,1,2,6,6,4,6,1,5,6,5,5,4,,,,39
212375,,6,6,6,6,6,6,6,6,5,4,5,5,5,5,3,,,1,31
213212,,6,5,6,5,6,4,4,4,3,4,4,3,2,3,6,,,1,37
213653,,5,4,5,4,4,5,6,3,6,6,5,3,1,1,1,,,-1,27
214473,,6,5,5,5,6,3,1,2,3,1,3,4,1,1,2,,,,25
214812,,5,6,6,6,6,5,2,3,5,5,5,2,5,4,6,,,,23
211038,-3,4,3,4,5,5,2,2,1,1,1,3,2,1,2,4,4,1,-1,34
208637,,,,,,,,,,,,,,,,,,,-1,44
209798,,,,,,,,,,,,,,,,,,,,21
213860,,,,,,,,,,,,,,,,,,,1,35
210164,-3,5,6,5,3,6,4,3,3,3,2,5,3,2,2,2,5,7,1,23
213348,-3,6,3,6,6,6,6,4,6,6,2,5,4,4,2,5,1,5,1,21
213789,-3,6,5,6,6,6,6,4,4,4,1,3,3,2,2,4,4,5,1,20
213873,-3,6,6,5,6,6,6,4,3,3,6,6,3,4,6,6,2,7,1,26
213568,-2,5,3,6,6,6,6,6,5,5,6,6,6,4,2,4,1,4,-1,19
209216,-2,5,5,6,4,6,6,4,1,3,1,6,2,1,3,1,2,5,1,18
209552,-2,6,6,6,6,6,6,5,4,4,6,6,5,4,5,6,,5,1,59
210088,-2,6,6,6,4,6,4,5,6,6,4,5,4,4,5,5,5,5,-1,21
215391,-2,5,6,5,4,6,6,3,2,4,1,4,1,2,1,5,2,4,1,22
214029,-2,4,4,6,5,5,5,3,3,3,4,5,3,3,3,6,4,9,1,43
213479,-1,6,6,6,5,6,4,5,4,3,3,3,3,3,5,6,3,5,1,27
212905,0,4,5,6,4,4,6,2,2,2,2,2,3,1,2,5,1,5,1,23
212171,0,6,4,4,3,5,1,6,4,6,5,5,3,3,3,6,,4,-1,27
212284,0,5,6,3,4,6,4,6,6,4,1,3,4,2,4,5,2,4,1,18
212873,0,4,3,2,3,6,3,3,2,2,2,2,3,2,1,3,1,5,-1,21
214786,0,6,5,6,5,5,4,3,5,5,3,4,4,4,4,6,,4,1,19
214993,0,6,6,4,4,5,6,5,3,4,1,3,4,2,3,3,2,5,-1,23
209155,2,4,4,6,4,6,5,5,6,6,3,5,5,4,3,3,2,7,1,22
209470,2,6,6,6,6,6,6,6,5,6,6,6,6,3,3,6,4,5,-1,56
