SESSION_ID,politics,Harmed,Unnat,Friend,Duties,Rights,Group,Loyalty,Violence,Desires,Profiting,Decency,Unfair,Interests,Weak,Author,Uplifting,Rank,Emotionally,Traditions,Treated,Betray,Respect,Slap,Heritage,Chastity,Romantic,Revolting,Wellbeing,Compassion,Line,Kill,Grouploy,Govharm,Sexroles,Soldier,Sin,Justice,Wrongdisgust,Fairly,Kidrespect,education,income2,gender,Age,TerrorRev,BrotherRev
419505,-3,,,,,,,,,,,,,,,,,,,,,,,2,1,3,5,5,4,4,3,2,6,4,6,3,4,4,4,4,1,1,1,-1,6,3,4
424058,-3,,,,,,,,,,,,,,,,,,,,,,,6,3,6,2,6,3,3,3,3,2,4,4,4,2,5,6,4,6,1,5,-1,25,6,1
423200,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,4,,
395582,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,-1,21,,
399083,-3,,,,,,,,,,,,,,,,,,,,,,,6,1,4,1,2,4,6,2,6,1,2,4,1,3,6,5,6,4,3,,-1,18,6,2
421351,-3,,,,,,,,,,,,,,,,,,,,,,,1,6,6,6,2,1,1,1,1,1,6,4,2,2,5,3,4,1,3,1,-1,20,6,6
395634,-3,,,,,,,,,,,,,,,,,,,,,,,5,2,3,4,1,1,6,6,3,5,6,1,3,1,6,1,6,3,3,1,-1,17,6,2
423329,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,-1,29,,
419555,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,18,,
396417,-3,,,,,,,,,,,,,,,,,,,,,,,3,6,4,3,3,2,2,2,6,5,4,4,2,5,5,5,2,4,3,2,-1,19,5,5
420863,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,-1,19,,
417254,-3,,,,,,,,,,,,,,,,,,,,,,,1,6,6,6,6,6,1,1,1,1,6,6,6,6,3,6,1,6,3,3,-1,15,1,5
398291,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,19,,
417396,-3,,,,,,,,,,,,,,,,,,,,,,,5,2,1,1,2,1,6,3,3,1,5,2,1,1,6,1,6,3,3,,-1,20,6,6
422889,-3,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,2,4,3,3,3,4,1,2,1,5,1,5,2,3,,1,16,6,5
399169,-3,,,,,,,,,,,,,,,,,,,,,,,6,2,1,5,1,1,1,4,5,2,5,2,6,1,6,1,6,4,3,,1,17,6,2
396980,-3,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,2,5,6,3,1,6,4,1,2,6,3,5,5,3,,1,19,5,6
397065,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,19,,
397489,-3,,,,,,,,,,,,,,,,,,,,,,,5,3,4,1,1,5,5,6,6,1,3,1,1,2,6,1,6,4,4,1,-1,23,2,1
396983,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,-1,24,,
397042,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,1,12,,
420083,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,-1,28,,
396270,-3,,,,,,,,,,,,,,,,,,,,,,,6,1,1,1,1,1,6,5,6,1,3,1,1,2,6,6,6,1,4,4,1,26,6,6
396409,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,1,18,,
419277,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,1,19,,
421612,-3,,,,,,,,,,,,,,,,,,,,,,,6,3,1,1,3,4,6,3,6,4,6,1,2,2,5,1,6,4,4,5,1,18,5,3
417333,-3,,,,,,,,,,,,,,,,,,,,,,,4,4,3,6,5,3,5,3,6,3,6,1,6,1,3,5,3,6,4,,1,21,6,4
