SessionID,politics_new,politics,dogkick,endangered,overweight,anthill,palm,cards,stealpoor,apartment,ballots,racepledge,sportsbet,flagburn,talkradio,familyshun,citizenrenounce,leaveclub,parentcurse,founderscurse,handgesture,rottentomato,fatherslap,soulsell,eatdog,tail,molesterblood,stageanimal,sex,gender,Age,education,educ_num,religion_attend,Religion_attend_num
324,"",7,8,1,4,1,4,1,8,1,1,7,1,2,6,6,1,4,8,2,2,1,3,2,5,8,1,6, M,1,27,"",,"",
394, Very Conservative,,8,7,8,1,8,8,8,8,8,8,1,7,8,6,8,5,8,8,5,6,6,8,8,8,1,8, F,0,24, Completed College/University,6, one or more times each week,3
660,"",1,4,6,3,2,5,4,7,4,8,6,1,1,5,6,7,4,4,1,3,1,1,1,1,7,1,5, M,1,65,"",,"",
1371,"",2,8,8,8,1,8,4,8,8,8,8,1,1,4,1,1,8,1,1,1,1,1,8,8,8,3,3, M,1,23,"",,"",
1628,"",1,8,8,8,1,8,3,8,6,8,8,2,1,1,7,8,8,7,1,4,1,4,1,8,1,1,4, M,1,29,"",,"",
2490,"",4,8,8,8,1,8,1,8,4,8,8,1,4,5,8,8,4,8,1,6,5,1,8,8,8,1,8, M,1,31,"",,"",
2519,"",1,2,4,2,1,2,3,3,2,2,3,2,1,3,7,2,6,5,1,1,2,1,2,3,4,1,3, M,1,19,"",,"",
3035,"",1,8,8,8,3,8,5,8,7,8,8,2,1,3,8,1,7,7,1,6,1,2,1,8,7,4,7, F,0,31,"",,"",
3256,"",2,8,8,8,5,8,8,8,8,8,8,1,4,8,8,7,6,8,6,6,8,1,1,8,8,1,7, M,1,72,"",,"",
3311,"",4,8,6,8,1,8,8,8,6,8,8,2,2,5,8,7,8,8,2,4,1,2,1,6,7,5,5, M,1,45,"",,"",
3345,"",3,8,8,8,8,8,8,8,8,8,8,2,5,8,8,7,8,8,4,5,5,4,6,8,8,8,7, M,1,32,"",,"",
3422,"",3,8,8,8,8,8,8,8,8,8,8,7,6,8,8,7,7,8,8,8,8,6,8,8,7,1,7, M,1,35,"",,"",
3876,"",1,8,8,5,1,8,1,8,5,8,8,3,2,4,7,5,3,5,2,6,1,6,6,8,8,1,8, F,0,49,"",,"",
